Theta	 Precision	 Recall	 Hits	 TPR	 FPR
-4.000000	0.007594	1.000000	0.000000	1.000000	0.696203
0.000000	0.007594	1.000000	0.000000	1.000000	0.696203
4.000000	0.100600	0.930480	0.000000	1.000000	0.696203
8.000000	0.180629	0.909956	0.000000	1.000000	0.696203
12.000000	0.234314	0.886577	0.000000	1.000000	0.645570
16.000000	0.460558	0.861373	0.000000	1.000000	0.151899
20.000000	0.552119	0.832608	0.000000	1.000000	0.075949
24.000000	0.574947	0.802069	0.000000	1.000000	0.063291
28.000000	0.590590	0.768851	0.000000	1.000000	0.063291
32.000000	0.610689	0.733605	0.000000	1.000000	0.050633
36.000000	0.623388	0.695480	0.000000	1.000000	0.050633
40.000000	0.635806	0.656454	0.000000	1.000000	0.050633
44.000000	0.650777	0.614411	0.000000	1.000000	0.037975
48.000000	0.666028	0.572584	0.000000	0.983471	0.037975
52.000000	0.669124	0.530447	0.000000	0.983471	0.037975
56.000000	0.675941	0.490231	0.000000	0.975207	0.025316
60.000000	0.696483	0.453124	0.000000	0.950413	0.025316
64.000000	0.697102	0.418385	0.000000	0.925620	0.012658
68.000000	0.722874	0.386897	0.000000	0.859504	0.012658
72.000000	0.745061	0.362412	0.000000	0.776860	0.012658
76.000000	0.766714	0.344401	0.000000	0.619835	0.012658
80.000000	0.801036	0.330154	0.000000	0.462810	0.012658
