Theta	 Precision	 Recall	 Hits	 TPR	 FPR
8.000000	0.226543	0.919942	0.880000	0.800000	1.000000
12.000000	0.342928	0.896273	0.880000	0.800000	0.787500
16.000000	0.422124	0.869933	0.880000	0.800000	0.650000
20.000000	0.471546	0.841357	0.865000	0.800000	0.562500
24.000000	0.565074	0.810122	0.855000	0.800000	0.412500
28.000000	0.599579	0.775886	0.805000	0.800000	0.337500
32.000000	0.645355	0.739219	0.760000	0.800000	0.287500
36.000000	0.666057	0.699398	0.690000	0.800000	0.262500
40.000000	0.667933	0.653953	0.585000	0.800000	0.262500
44.000000	0.662829	0.608209	0.555000	0.800000	0.250000
48.000000	0.651709	0.568096	0.475000	0.783333	0.237500
52.000000	0.658873	0.536568	0.440000	0.758333	0.200000
56.000000	0.699289	0.512460	0.400000	0.683333	0.175000
60.000000	0.709395	0.493317	0.400000	0.591667	0.150000
64.000000	0.755252	0.479535	0.400000	0.458333	0.125000
68.000000	0.850751	0.469050	0.400000	0.333333	0.062500
72.000000	0.917747	0.462089	0.400000	0.241667	0.037500
76.000000	0.932747	0.458297	0.400000	0.166667	0.037500
80.000000	0.950595	0.455867	0.400000	0.091667	0.012500
84.000000	0.968955	0.455038	0.400000	0.050000	0.012500
88.000000	0.994322	0.454613	0.400000	0.008333	0.000000
92.000000	1.000000	0.454553	0.400000	0.000000	0.000000
96.000000	1.000000	0.454553	0.400000	0.000000	0.000000
100.000000	1.000000	0.454553	0.400000	0.000000	0.000000
